id,country,language,treatment,age,gender,gender_text,education,political_ideology,religiosity,subjective_SES,AI_familiarity,AI_frequency,AI_trustworthy,order,dilemma,advisor,advice,trustworthy,blame,trust_other_issues,surprise,humanlike,judgement_pre,judgement_post,confidence_pre,confidence_post,comprehension_check
1,Brazil,PT,AI,25,Female,NA,8,4,5,7,4,3,6,1,Bike,ETHIC-AI,Deontological,7,5,7,6,6,0.86,0.88,6,6,Correct
1,Brazil,PT,AI,25,Female,NA,8,4,5,7,4,3,6,2,Baby,VIRTUE-BOT,Utilitarian,5,7,6,5,6,0.46,0.55,4,5,Incorrect
2,Brazil,PT,AI,27,Female,NA,8,7,7,6,7,5,7,1,Baby,ETHIC-AI,Deontological,7,1,7,7,7,0.05,0.02,7,7,Correct
2,Brazil,PT,AI,27,Female,NA,8,7,7,6,7,5,7,2,Bike,VIRTUE-BOT,Utilitarian,7,1,7,7,7,0.95,0,5,7,Incorrect
3,Brazil,PT,Human,30,Male,NA,8,5,3,3,4,3,4,1,Baby,Dr. Smith,Deontological,3,4,4,4,4,0.2,0.38,6,5,Correct
3,Brazil,PT,Human,30,Male,NA,8,5,3,3,4,3,4,2,Bike,Dr. Thompson,Utilitarian,4,4,4,4,4,0.35,0.43,4,4,Incorrect
4,Brazil,PT,AI,30,Male,NA,6,5,3,4,7,4,6,1,Baby,VIRTUE-BOT,Utilitarian,4,4,4,1,1,0.16,0.24,7,6,Correct
4,Brazil,PT,AI,30,Male,NA,6,5,3,4,7,4,6,2,Bike,ETHIC-AI,Deontological,5,5,4,3,4,0.85,0.83,6,6,Correct
5,Brazil,PT,AI,66,Male,NA,6,2,2,6,4,1,1,1,Bike,ETHIC-AI,Deontological,4,2,4,2,2,0.04,0.05,1,7,Correct
5,Brazil,PT,AI,66,Male,NA,6,2,2,6,4,1,1,2,Baby,VIRTUE-BOT,Utilitarian,2,7,2,4,2,0.04,0.03,7,1,Correct
6,Brazil,PT,AI,32,Male,NA,4,7,4,1,7,4,5,1,Bike,VIRTUE-BOT,Deontological,7,6,6,6,7,NA,NA,7,7,Correct
6,Brazil,PT,AI,32,Male,NA,4,7,4,1,7,4,5,2,Baby,ETHIC-AI,Utilitarian,6,7,7,7,7,0.83,NA,7,7,Incorrect
7,Brazil,PT,Human,34,Female,NA,5,4,4,10,1,5,7,1,Baby,Dr. Smith,Utilitarian,1,7,7,7,7,0.02,0.03,7,7,Incorrect
7,Brazil,PT,Human,34,Female,NA,5,4,4,10,1,5,7,2,Bike,Dr. Thompson,Deontological,7,7,7,7,7,0.01,0.01,7,7,Correct
8,Brazil,PT,AI,44,Male,NA,6,7,4,10,7,5,7,1,Baby,ETHIC-AI,Utilitarian,1,7,1,7,1,0,0,7,7,Correct
8,Brazil,PT,AI,44,Male,NA,6,7,4,10,7,5,7,2,Bike,VIRTUE-BOT,Deontological,1,7,1,7,1,0.02,0.01,1,7,Correct
9,Brazil,PT,Human,32,Female,NA,6,1,5,4,7,5,7,1,Baby,Dr. Smith,Deontological,7,7,6,3,7,0,0,7,7,Correct
9,Brazil,PT,Human,32,Female,NA,6,1,5,4,7,5,7,2,Bike,Dr. Thompson,Utilitarian,4,5,4,4,5,0.13,0.61,5,4,Correct
